Liczba prób	Czas	Logarytm Czasu
2^0		0.0001790999958757311	-12.446947075447587
2^1		8.55999969644472e-05	-13.512029728971337
2^2		0.00010409999958937988	-13.229742316602797
2^3		0.00011589999485295266	-13.07483187727426
2^4		5.0699993153102696e-05	-14.267654922040256
2^5		6.690000009257346e-05	-13.867634261573734
2^6		0.00011770000128308311	-13.05259804344584
2^7		0.05221209999581333	-4.259472004032421
2^8		0.005307899999024812	-7.557643094110351
2^9		0.013431500003207475	-6.218235758699168
2^10		0.032061400001111906	-4.963018765824287
2^11		0.12604289999580942	-2.9880132415011356
2^12		0.6087612999981502	-0.7160514477334715
2^13		3.1558474999983446	1.6580274916910949
2^14		26.702932399995916	4.738926275999918
