Liczba prób	Czas	Logarytm Czasu
2^0		6.460000008701172e-05	-13.918106307574401
2^1		4.409999996823899e-05	-14.468861819693052
2^2		3.739999988283671e-05	-14.706602208843442
2^3		3.979999996772676e-05	-14.616872044837748
2^4		4.750000016429112e-05	-14.36171295600329
2^5		6.380000013450626e-05	-13.936084047405107
2^6		0.00011459999996077386	-13.091105335948448
2^7		0.03377580000005764	-4.887866248722734
2^8		0.07414960000005522	-3.7534172796908165
2^9		0.2429505000000063	-2.041265693315937
2^10		0.3603150999999798	-1.4726689817332392
2^11		0.6277542000000267	-0.6717283189828768
2^12		0.6610700999999608	-0.597124831384285
2^13		3.3556049999999686	1.7465729010935125
2^14		24.623373199999833	4.621956507626112
